SCOR GLOBAL P&C SE                                          ~SGP&C SE HEAD OFFICE                    ~                                        ~5 avenue Kléber                         ~                                        ~75016 PARIS                             ~75016~PARIS                           ~FRA~   ~5~1
SCOR SE PC SEGMENT                                          ~SGP&C SE HEAD OFFICE                    ~                                        ~5 avenue Kléber                         ~                                        ~75016 PARIS                             ~75016~PARIS                           ~FRA~   ~5~1
SCOR EUROPE SE                                              ~SCOR EUROPE SE                          ~                                        ~5 avenue Kléber                         ~                                        ~75016 PARIS                             ~75016~PARIS                           ~FRA~   ~5~1
SCOR EUROPE SE                                              ~SCOR EUROPE SE                          ~                                        ~5 avenue Kléber                         ~                                        ~75016 PARIS                             ~75016~PARIS                           ~FRA~   ~5~1
AON UK LTD                                                  ~AON UK LIMITED                          ~                                        ~55 Bishopsgate                          ~                                        ~London EC2N 3BD                         ~ ~London                          ~GBR~   ~55~1
ARTHUR J GALLAGHER CAPSICUM RE                              ~NORDIC FORSAKRING & RISKHANTERING AB    ~                                        ~The Walbrook Building - 25 Walbrook     ~                                        ~LONDON EC4N 8AW                         ~ ~LONDON                          ~GBR~   ~25~25
INTACT                                                      ~INTACT FINANCIAL CORPORATION            ~                                        ~2450, rue Girouard Ouest                ~                                        ~Saint-Hyacinthe QC J2S 3B3              ~J2S 3B3~Saint-Hyacinthe                 ~CAN~QC ~2450~1
ARTHUR J GALLAGHER CAPSICUM RE                              ~NORDIC FORSAKRING & RISKHANTERING AB    ~                                        ~The Walbrook Building - 25 Walbrook     ~                                        ~LONDON EC4N 8AW                         ~ ~LONDON                          ~GBR~   ~25~25
TYSERS trading via INTEGRO INS BRK LTD NST CLIENT FUNDS     ~TYSERS INSURANCE BROKERS LIMITED        ~                                        ~71 Fenchurch Street -                   ~                                        ~LONDON EC3M 4BS                         ~EC3M 4BS~LONDON                          ~GBR~   ~71~1
McLarens Canada Inc.                                        ~MCLARENS CANADA INC.                    ~                                        ~366 ADELAIDE STREET WEST                ~SUITE 700                               ~M5V 1R9                                 ~M5V 1R9~TORONTO                         ~CAN~ON ~366~1
Reinsurance Management Associates, Inc.                     ~REINSURANCE MANAGEMENT ASSOCIATES INC   ~                                        ~170 University Avenue Suite 500 5th     ~Floor                                   ~Toronto ON M5H 3B3                      ~ ~Toronto                         ~CAN~ON ~170~1
UNIVERSITY OF MANITOBA                                      ~UNIVERSITY OF MANITOBA                  ~                                        ~638 Drake Centre                        ~                                        ~Winnipeg MB R3T 2N2                     ~R3T 2N2~Winnipeg                        ~CAN~MB ~638~1
CASTEL UNDERWRITING AGENCIES LIMITED - USD OFFICE           ~RYAN SPECIALTY UNDERWRITING MANAGERS    ~INTERNATIONAL LIMITED                   ~GROUND FLOOR - 60 GREAT TOWER STREET    ~                                        ~LONDON EC3R 5AZ                         ~EC3A 7AW~LONDON                          ~GBR~ENG~60~16
MGB CLAIMS CONSULTANTS IN                                   ~MGB CLAIMS CONSULTANTS INC              ~                                        ~366 ADELAIDE STREET WEST                ~SUITE 700                               ~M5V 1R9                                 ~M5V 1R9~TORONTO                         ~CAN~ON ~366~1
MILLER THOMSON LLP                                          ~MILLER THOMSON LLP                      ~SCOTIA PLAZA                            ~40 King Street West, Suite 5800         ~P.O. Box 1011                           ~M5H 3S1                                 ~M5H 3S1~Toronto                         ~CAN~ON ~40~1
INDEMNIPRO LP                                               ~INDEMNIPRO LP                           ~                                        ~Suite 101, 575- 100 Street SW           ~                                        ~Edmonton AB T6X 0S8                     ~T6X 0S8~Edmonton                        ~CAN~AB ~575-100~12
CHARLES TAYLOR ADJUSTING                                    ~CHARLES TAYLOR ADJUSTING LIMITED        ~                                        ~10 King Street E Suite 900              ~                                        ~Toronto ON M5C 1C3                      ~M5C 1C3~Toronto                         ~CAN~ON ~10~1
MGB CLAIMS CONSULTANTS IN                                   ~MGB CLAIMS CONSULTANTS INC              ~                                        ~366 ADELAIDE STREET WEST                ~SUITE 700                               ~M5V 1R9                                 ~M5V 1R9~TORONTO                         ~CAN~ON ~366~1
